airport,airline,air_cluster,frequency
EGLL,BAW,A320,4995
EGLL,BAW,A319,3532
EGLL,BAW,A321,1747
EGLL,BAW,B744,1450
EGLL,FIN,A321,146
EGLL,FIN,A320,78
EGLL,FIN,A319,1
EGLL,BEE,DH8D,821
EGLL,IBE,A319,111
EGLL,IBE,A321,107
EGLL,IBE,A320,91
EGLL,UAL,B763,389
EGLL,UAL,B752,57
EGLL,TAP,A320,146
EGLL,TAP,A319,46
EGLL,TAP,A332,39
EGLL,TAP,A321,2
EGLL,DAL,A332,272
EGLL,DAL,B763,227
EGLL,SHT,A319,1047
EGLL,SHT,A320,710
EGLL,SHT,A321,380
EGLL,MSR,B738,59
EGLL,EIN,A320,1280
EGLL,AUA,A320,115
EGLL,AUA,A321,110
EGLL,AFL,A321,170
EGLL,AFL,A320,36
EGLL,AFL,B738,19
EGLL,AFL,A332,2
EGLL,KZR,B752,49
EGLL,KZR,B763,1
EGLL,SWR,A320,281
EGLL,SWR,A321,57
EGLL,SWR,A319,28
EGLL,SWR,E190,1
EGLL,MEA,A332,73
EGLL,MEA,A320,39
EGLL,LOT,B738,35
EGLL,LOT,B737,22
EGLL,LOT,B734,19
EGLL,LOT,E190,2
EGLL,DLH,A320,450
EGLL,DLH,A321,107
EGLL,DLH,A319,41
EGLL,SAS,B738,60
EGLL,SAS,B737,44
EGLL,SAS,A320,22
EGLL,SAS,A321,14
EGLL,SAS,A319,13
EGLL,EWG,A319,667
EGLL,EWG,A320,110
EGLL,EWG,DH8D,1
EGLL,AEE,A321,167
EGLL,AEE,A320,11
EGLL,IRA,A332,24
EGLL,CCA,A332,47
EGLL,KLM,E190,188
EGLL,KLM,B738,170
EGLL,KLM,B737,124
EGLL,RAM,B738,50
EGLL,RAM,E190,16
EGLL,RAM,B737,1
EGLL,ZZZ,A319,4
EGLL,ZZZ,A320,2
EGLL,YYY,B738,1
EGLL,THY,A321,102
EGLL,THY,B738,4
EGLL,THY,A332,3
EGLL,DAH,B738,37
EGLL,DAH,A332,17
EGLL,AZA,A320,136
EGLL,AZA,A319,92
EGLL,AZA,A321,69
EGLL,AAA,B738,1
EGLL,ASL,A319,75
EGLL,ASL,A320,58
EGLL,VLG,A320,56
EGLL,SVA,B737,3
EGLL,TAR,A320,25
EGLL,TAR,A319,7
EGLL,BEL,A320,109
EGLL,BEL,A319,51
EGLL,PPP,B738,1
EGLL,CBJ,A332,24
EGLL,AMC,A320,69
EGLL,AMC,A319,18
EGLL,ACA,B763,57
EGLL,GCR,A332,36
EGLL,ICE,B752,63
EGLL,ICE,B763,52
EGLL,AFR,A320,112
EGLL,AFR,A321,106
EGLL,AFR,A319,91
EGLL,AFR,E190,12
EGLL,LZB,A319,35
EGLL,LZB,E190,5
EGLL,CTN,A319,23
EGLL,CTN,A320,10
EGLL,CSN,A332,18
EGLL,QQQ,B738,3
EGLL,QAF,A320,6
EGLL,QAF,A332,1
EGLL,ABW,B744,6
EGLL,SIA,B744,16
EGLL,CPA,B744,8
EGLL,QTR,A332,11
EGLL,UZB,B752,5
EGLL,UZB,B763,3
EGLL,CCC,B738,1
EGLL,BCS,B752,8
EGLL,LLL,B738,1
EGLL,OOO,B738,1
EGLL,RJA,A321,8
EGLL,RRF,A332,1
EGLL,AAL,A332,6
EGLL,AAL,B763,1
EGLL,KRF,A332,2
EGLL,ELY,B744,2
EGLL,ROU,B763,1
EGLL,GIA,A332,3
EGLL,BAH,B744,1
EGLL,MMM,B738,1
EGLL,VPB,A332,1
EGLL,AHY,B763,2
EGLL,KAC,A332,3
EGLL,JEP,B744,1
LFPG,AHY,A319,16
LFPG,AHY,A320,6
LFPG,AHY,B752,1
LFPG,AHY,B763,1
LFPG,AFR,A320,4363
LFPG,AFR,A319,3413
LFPG,AFR,A321,2282
LFPG,AFR,E190,1306
LFPG,AFR,A332,683
LFPG,AFR,B744,17
LFPG,BEE,DH8D,230
LFPG,EZY,A319,420
LFPG,EZY,A320,159
LFPG,EZY,E190,3
LFPG,DLH,A320,335
LFPG,DLH,A321,243
LFPG,DLH,A319,107
LFPG,KLM,B738,208
LFPG,KLM,B737,90
LFPG,EJU,A320,1939
LFPG,EJU,A319,230
LFPG,DAL,B763,452
LFPG,DAL,A332,56
LFPG,LBT,A320,332
LFPG,VLG,A320,1068
LFPG,VLG,A321,85
LFPG,VLG,A319,2
LFPG,SWR,A320,58
LFPG,SWR,E190,15
LFPG,SWR,A319,1
LFPG,SWR,A321,1
LFPG,TAY,B734,42
LFPG,TAY,B752,37
LFPG,ELY,B738,45
LFPG,ELY,B744,12
LFPG,CES,A332,50
LFPG,AZA,A320,149
LFPG,AZA,A321,85
LFPG,AZA,A319,41
LFPG,AZA,E190,6
LFPG,EWG,A319,148
LFPG,EWG,A320,58
LFPG,EWG,B738,38
LFPG,EWG,DH8D,4
LFPG,AUA,A320,185
LFPG,AUA,A321,129
LFPG,AUA,A319,8
LFPG,FDX,B752,339
LFPG,FDX,B763,33
LFPG,FIN,A321,129
LFPG,FIN,A320,87
LFPG,FIN,E190,58
LFPG,FIN,A319,8
LFPG,NPT,B734,76
LFPG,BEL,A320,173
LFPG,BEL,A319,6
LFPG,AEE,A321,169
LFPG,AEE,A320,148
LFPG,TAR,A320,30
LFPG,TAR,A332,1
LFPG,SDM,A320,57
LFPG,AFL,A321,204
LFPG,AFL,A320,61
LFPG,AFL,B738,15
LFPG,JAF,B738,309
LFPG,JAF,A320,5
LFPG,JAF,B737,1
LFPG,ICE,B752,84
LFPG,ICE,B763,68
LFPG,ICE,A319,11
LFPG,AEA,B738,354
LFPG,FPO,B737,335
LFPG,FPO,B734,124
LFPG,FPO,B738,91
LFPG,SAS,B737,110
LFPG,SAS,A320,62
LFPG,SAS,B738,61
LFPG,SAS,A321,35
LFPG,SAS,A319,12
LFPG,DAH,B738,405
LFPG,DAH,A332,119
LFPG,DAH,B737,10
LFPG,OHY,A320,41
LFPG,OHY,A321,5
LFPG,AUI,B738,114
LFPG,FIA,A320,13
LFPG,FIA,A319,7
LFPG,AAL,A332,110
LFPG,MSR,B738,62
LFPG,SXS,B738,45
LFPG,SXS,A320,7
LFPG,BAW,A319,216
LFPG,BAW,A320,107
LFPG,BAW,A321,37
LFPG,UPS,B763,80
LFPG,THY,A321,170
LFPG,THY,B738,95
LFPG,THY,A332,49
LFPG,THY,A320,3
LFPG,THY,B737,1
LFPG,TSC,A332,92
LFPG,XLF,A332,157
LFPG,ABR,AT43,111
LFPG,ABR,B734,30
LFPG,ABR,B737,1
LFPG,UZB,B752,9
LFPG,UZB,B763,5
LFPG,CSA,B738,150
LFPG,ASL,A319,82
LFPG,ASL,A320,43
LFPG,MAC,A320,71
LFPG,NAX,B738,179
LFPG,NAX,A320,10
LFPG,NAX,B763,2
LFPG,BCS,B734,95
LFPG,BCS,B752,89
LFPG,BCS,A332,8
LFPG,SRR,B763,59
LFPG,SQP,B737,20
LFPG,SQP,B738,13
LFPG,LGL,DH8D,214
LFPG,LGL,B737,8
LFPG,LGL,B738,4
LFPG,LZB,A319,41
LFPG,LZB,E190,14
LFPG,CCA,A332,76
LFPG,TCV,B752,23
LFPG,RJA,A320,49
LFPG,RJA,A321,7
LFPG,RJA,A319,3
LFPG,RAM,B738,130
LFPG,RAM,B737,11
LFPG,GFA,A320,58
LFPG,HOP,E190,16
LFPG,UAL,B763,37
LFPG,ROT,B737,34
LFPG,ROT,B738,11
LFPG,LOT,B734,87
LFPG,LOT,A319,10
LFPG,LOT,B738,4
LFPG,LOT,A320,1
LFPG,LOT,B737,1
LFPG,LOT,E190,1
LFPG,REU,A332,45
LFPG,REU,B744,3
LFPG,ADR,A319,17
LFPG,EIN,A320,272
LFPG,EIN,B734,1
LFPG,ENT,B738,166
LFPG,CRL,B738,16
LFPG,CRL,B744,1
LFPG,ACA,A332,56
LFPG,TVS,B738,90
LFPG,KAC,A332,32
LFPG,AAF,A320,77
LFPG,AAF,A332,5
LFPG,AAF,B737,1
LFPG,MEA,A332,114
LFPG,MEA,A320,2
LFPG,TVF,B738,18
LFPG,TVF,A319,5
LFPG,TVF,A320,1
LFPG,ANE,CRJX,26
LFPG,IBS,A320,114
LFPG,FOO,A321,44
LFPG,FOO,A320,10
LFPG,KZR,B752,23
LFPG,KZR,B763,1
LFPG,CTN,A319,126
LFPG,CTN,A320,2
LFPG,KKK,A320,34
LFPG,KKK,A321,23
LFPG,IRA,A332,15
LFPG,AMC,A320,59
LFPG,AMC,A319,1
LFPG,QQQ,B738,3
LFPG,LAV,B738,18
LFPG,LAV,B734,2
LFPG,SWT,AT43,32
LFPG,DJT,B752,2
LFPG,FEG,B738,15
LFPG,ARN,B763,2
LFPG,RBG,A320,8
LFPG,XFL,A332,1
LFPG,TGZ,B738,13
LFPG,TGZ,E190,2
LFPG,TGZ,B737,1
LFPG,ABW,B744,15
LFPG,SPM,B737,8
LFPG,FLI,A319,19
LFPG,FLI,A320,1
LFPG,AWC,B763,2
LFPG,AWC,B752,1
LFPG,BMS,B734,4
LFPG,BMS,B738,1
LFPG,MNB,A332,7
LFPG,MSC,A320,8
LFPG,SVR,A321,8
LFPG,EZS,A320,1
LFPG,CPA,B744,6
LFPG,BRU,B738,5
LFPG,AIZ,B763,7
LFPG,CHH,A332,2
LFPG,ZZZ,B737,2
LFPG,FRV,B744,1
LFPG,MDG,B744,1
LFPG,MAR,B734,23
LFPG,GZP,B737,2
LFPG,MLH,A320,1
LFPG,SVA,B737,1
LFPG,UUU,B738,1
LFPG,UJX,A320,1
LFPG,NIA,A320,11
LFPG,TFL,B738,2
LFPG,LMU,A320,5
LFPG,HAT,B734,1
LFPG,CFG,A332,1
LFPG,QAF,A332,1
LFPG,WWW,B738,1
LFPG,GJT,A320,2
LFPG,HFY,A332,1
LFPG,SIA,B744,1
EHAM,KLM,E190,6037
EHAM,KLM,B738,4646
EHAM,KLM,B737,2390
EHAM,KLM,B744,438
EHAM,KLM,A332,400
EHAM,EZY,A319,587
EHAM,EZY,A320,496
EHAM,EZY,E190,3
EHAM,BAW,A319,251
EHAM,BAW,A320,191
